Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	collecting_institution	ENA-FIRST-PUBLIC (run)	ENA_first_public	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	geographic_location_(country_and/or_sea)	host_scientific_name	sample_capture_status	Library Name	External_Id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	sample_name	Submitter_Id	INSDC_center_alias	Broker_name	geographic_location_(region_and_locality)	AssemblyName	artic_primer_version (exp)	Isolate	host_subject_id	collector_name	host_common_name	host_health_state	host_sex	definition_for_seropositive_sample	serotype_(required_for_a_seropositive_sample)	virus_identifier	receipt_date	common_name	Host_Age	isolation_source-host_associated	BioSampleModel	collected_by	geo_loc_name	Host_disease	Host	Isolation_Source	Lat_Lon	max_cycle_threshold	min_cycle_threshold	strain	GISAID_virus_name	purpose_of_sequencing	anatomical_part	body_product	geographic_location_(latitude)	geographic_location_(longitude)	gisaid_accession	purpose_of_sampling	SUBMISSION_TOOL (exp)	SUBMISSION_TOOL (run)	submission_tool	dehosting_method (run)	sequenced_by
ERR5185228	AMPLICON	418	20023591	PRJEB37886	SAMEA7864970	2471984	WELLCOME SANGER INSTITUTE	2021/1/6	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4990075	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7864970	ERP121228	Lighthouse Lab in Glasgow	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655593N / DN742436H:P18	SAMEA7864970	Wellcome Sanger Institute	2021-01-25T22:19:40Z	2021-01-25T22:19:40Z	public	COG-UK/QEUH-F6AE1A	COG-UK/QEUH-F6AE1A	SC	SC	England	assembly	3																																				
ERR5187771	AMPLICON	420	877441032	PRJEB37886	SAMEA7867516	88968012	WELLCOME SANGER INSTITUTE	2021/1/9	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4992618	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7867516	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1656016M / DN745149P:L13	SAMEA7867516	Wellcome Sanger Institute	2021-01-25T22:27:05Z	2021-01-25T22:27:05Z	public	COG-UK/MILK-FAEB04	COG-UK/MILK-FAEB04	SC	SC	England	assembly	3																																				
ERR5188323	AMPLICON	420	120239855	PRJEB37886	SAMEA7868059	10147367	WELLCOME SANGER INSTITUTE	2021/1/11	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4993170	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7868059	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1656046S / DN746750H:J2	SAMEA7868059	Wellcome Sanger Institute	2021-01-25T23:00:42Z	2021-01-25T23:00:42Z	public	COG-UK/MILK-FEBE3F	COG-UK/MILK-FEBE3F	SC	SC	England	assembly	3																																				
ERR5188522	AMPLICON	420	243533103	PRJEB37886	SAMEA7868258	20313117	WELLCOME SANGER INSTITUTE	2021/1/11	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4993369	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7868258	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1656046S / DN746750H:J16	SAMEA7868258	Wellcome Sanger Institute	2021-01-25T23:00:51Z	2021-01-25T23:00:51Z	public	COG-UK/MILK-FEB5A3	COG-UK/MILK-FEB5A3	SC	SC	England	assembly	3																																				
ERR5188626	AMPLICON	420	260279844	PRJEB37886	SAMEA7868362	21694814	WELLCOME SANGER INSTITUTE	2021/1/11	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4993473	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7868362	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1656046S / DN746750H:B24	SAMEA7868362	Wellcome Sanger Institute	2021-01-25T23:00:57Z	2021-01-25T23:00:57Z	public	COG-UK/MILK-FCF0C2	COG-UK/MILK-FCF0C2	SC	SC	England	assembly	3																																				
ERR5176150	AMPLICON	419	1049649718	PRJEB37886	SAMEA7855830	110263061	WELLCOME SANGER INSTITUTE	2020/12/26	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4980997	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7855830	ERP121228	Lighthouse Lab in Cambridge	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655366E / DN731439B:K7	SAMEA7855830	Wellcome Sanger Institute	2021-01-25T17:13:56Z	2021-01-25T17:13:56Z	public	COG-UK/CAMC-D35DA4	COG-UK/CAMC-D35DA4	SC	SC	England	assembly	3																																				
ERR5176431	AMPLICON	379	20429073	PRJEB37886	SAMEA7856112	2390620	WELLCOME SANGER INSTITUTE	2020/12/26	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4981278	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7856112	ERP121228	Lighthouse Lab in Cambridge	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655367F / DN731440R:D3	SAMEA7856112	Wellcome Sanger Institute	2021-01-25T17:14:01Z	2021-01-25T17:14:01Z	public	COG-UK/CAMC-D3481D	COG-UK/CAMC-D3481D	SC	SC	England	assembly	3																																				
ERR5176974	AMPLICON	419	311331563	PRJEB37886	SAMEA7856706	27655713	WELLCOME SANGER INSTITUTE	2020/12/29	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4981821	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7856706	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655374E / DN733938A:O16	SAMEA7856706	Wellcome Sanger Institute	2021-01-25T21:55:16Z	2021-01-25T21:55:16Z	public	COG-UK/MILK-DAFDD2	COG-UK/MILK-DAFDD2	SC	SC	England	assembly	3																																				
ERR5178561	AMPLICON	420	592521212	PRJEB37886	SAMEA7858295	58918975	WELLCOME SANGER INSTITUTE	2020/12/31	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4983408	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7858295	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655421R / DN734979N:H11	SAMEA7858295	Wellcome Sanger Institute	2021-01-25T21:58:29Z	2021-01-25T21:58:29Z	public	COG-UK/ALDP-DCB08C	COG-UK/ALDP-DCB08C	SC	SC	England	assembly	3																																				
ERR5178844	AMPLICON	419	141724690	PRJEB37886	SAMEA7858578	13740542	WELLCOME SANGER INSTITUTE	2020/12/29	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4983691	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7858578	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655420Q / DN735110S:N6	SAMEA7858578	Wellcome Sanger Institute	2021-01-25T21:59:31Z	2021-01-25T21:59:31Z	public	COG-UK/MILK-E0B887	COG-UK/MILK-E0B887	SC	SC	England	assembly	3																																				
ERR5179796	AMPLICON	420	118034665	PRJEB37886	SAMEA7859531	11145435	WELLCOME SANGER INSTITUTE	2021/1/1	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4984643	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859531	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655455E / DN736952K:A2	SAMEA7859531	Wellcome Sanger Institute	2021-01-25T22:03:49Z	2021-01-25T22:03:49Z	public	COG-UK/ALDP-E2E569	COG-UK/ALDP-E2E569	SC	SC	England	assembly	3																																				
ERR5179807	AMPLICON	418	701547909	PRJEB37886	SAMEA7859542	80885193	WELLCOME SANGER INSTITUTE	2021/1/1	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4984654	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859542	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655455E / DN736952K:M2	SAMEA7859542	Wellcome Sanger Institute	2021-01-25T22:03:50Z	2021-01-25T22:03:50Z	public	COG-UK/ALDP-E2E60C	COG-UK/ALDP-E2E60C	SC	SC	England	assembly	3																																				
ERR5179824	AMPLICON	419	631658564	PRJEB37886	SAMEA7859559	63003289	WELLCOME SANGER INSTITUTE	2021/1/1	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4984671	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859559	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655455E / DN736952K:A4	SAMEA7859559	Wellcome Sanger Institute	2021-01-25T22:03:51Z	2021-01-25T22:03:51Z	public	COG-UK/ALDP-E2E596	COG-UK/ALDP-E2E596	SC	SC	England	assembly	3																																				
ERR5179830	AMPLICON	420	229570862	PRJEB37886	SAMEA7859565	21013028	WELLCOME SANGER INSTITUTE	2021/1/1	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4984677	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859565	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655455E / DN736952K:G4	SAMEA7859565	Wellcome Sanger Institute	2021-01-25T22:03:51Z	2021-01-25T22:03:51Z	public	COG-UK/ALDP-E2E55A	COG-UK/ALDP-E2E55A	SC	SC	England	assembly	3																																				
ERR5179834	AMPLICON	419	727290185	PRJEB37886	SAMEA7859569	80685786	WELLCOME SANGER INSTITUTE	2021/1/1	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4984681	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859569	ERP121228	Lighthouse Lab in Alderley Park	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655455E / DN736952K:K4	SAMEA7859569	Wellcome Sanger Institute	2021-01-25T22:03:51Z	2021-01-25T22:03:51Z	public	COG-UK/ALDP-E2E5C3	COG-UK/ALDP-E2E5C3	SC	SC	England	assembly	3																																				
ERR5180139	AMPLICON	419	665256035	PRJEB37886	SAMEA7859875	71561936	WELLCOME SANGER INSTITUTE	2021/1/2	public	"activ_sars2_vcf,cram,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	ERX4984986	United Kingdom	Europe	Illumina NovaSeq 6000	PAIRED	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2021-02-02T00:00:00Z	SAMEA7859875	ERP121228	Lighthouse Lab in Milton Keynes	2021/1/26	2021/1/25	2021/1/25	2021/1/25	United Kingdom	Homo sapiens	active surveillance in response to outbreak	NT1655456F / DN737268B:L1	SAMEA7859875	Wellcome Sanger Institute	2021-01-25T22:04:08Z	2021-01-25T22:04:08Z	public	COG-UK/MILK-E7BE17	COG-UK/MILK-E7BE17	SC	SC	England	assembly	3																																				
